epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1343,1.36253,4.26377,1.4651,0.00382,0.14317,0.05093,0.03265,0.93214,4.14236,1.1262,0.00018564,0.00018564,0.00018564
2,27.8064,1.26473,4.21832,1.35191,0.00562,0.2219,0.06922,0.05303,0.99925,4.0823,1.12728,0.000303493,0.000303493,0.000303493
3,42.4843,1.27656,4.155,1.30661,0.00541,0.22746,0.06783,0.05167,0.96386,4.0208,1.11843,0.000345005,0.000345005,0.000345005
4,53.512,1.19013,4.07903,1.25219,0.00541,0.22746,0.06783,0.05167,0.96386,4.0208,1.11843,0.000289884,0.000289884,0.000289884
5,63.9339,1.22021,4.0828,1.26099,0.00652,0.27452,0.07005,0.05402,0.93575,3.96805,1.11888,0.000148512,0.000148512,0.000148512
